12.1159,-1.6784,1.394,-2.8805
10.9708,-1.7142,1.312,-3.0311
9.8253,-1.5559,1.2726,-3.0851
8.7089,-1.3607,1.2264,-3.1215
7.481,-1.1362,1.1303,3.1275
6.2141,-0.7949,1.0682,3.093
5.2122,-0.527,1.0342,3.0694
4.242,-0.2501,0.9562,3.0526
3.2563,0.153,0.9253,3.0353
2.3027,0.469,0.8345,3.015
1.3117,0.7697,0.7847,2.9956
0.3038,1.1628,0.7166,2.9596
-0.6416,1.568,0.6721,2.9163
-1.5375,2.0244,0.5752,2.8641
-2.6953,2.6367,0.5169,2.7895
-3.707,3.3719,0.4156,2.6942
-4.6875,4.0777,0.3358,2.58
-5.5994,4.913,0.2576,2.4434
-6.402,5.8593,0.1905,2.2964
-6.9396,6.9093,0.1255,2.1333
-7.3225,8.0907,0.0885,1.9502
-7.349,9.2191,0.0059,1.7031
-7.5661,10.2989,-0.0579,1.5014
-7.2208,11.5004,-0.0761,1.3118
-6.7093,12.4839,-0.1,1.1229
-5.8919,13.4007,-0.0499,0.8998
-4.9577,14.1596,0.0109,0.6986
-4.0411,14.8012,0.0609,0.5781
-2.9346,15.217,0.1191,0.5126
-1.8694,15.522,0.1615,0.4715
-0.6498,15.8387,0.2083,0.4324
0.5285,16.1056,0.3107,0.4185
1.5222,16.3474,0.385,0.4107
2.8081,16.5599,0.4622,0.398
3.8576,16.7225,0.5157,0.3903
4.9643,16.9175,0.5865,0.3806
6.0978,17.0766,0.6409,0.3708
7.1956,17.2554,0.7457,0.3596
8.3113,17.4225,0.8314,0.3347
9.461,17.6151,0.9268,0.2972
10.5559,17.7027,1.0071,0.2544
11.71,17.7228,1.0841,0.2016
12.8574,17.6873,1.1842,0.151
13.9516,17.5774,1.2337,0.0981
15.0587,17.4689,1.345,0.0447
16.1904,17.3516,1.4059,-0.0184
17.3026,17.1353,1.5018,-0.0873
18.3513,16.7107,1.6129,-0.1608
19.3815,16.337,1.6702,-0.2367
20.3168,15.8619,1.7491,-0.3195
21.2221,15.2725,1.8146,-0.4055
22.0224,14.652,1.9175,-0.4934
22.8938,14.0604,1.9922,-0.5876
23.7838,13.1692,2.0561,-0.6877
24.4804,12.3059,2.135,-0.7854
25.0092,11.3877,2.1689,-0.8826
25.4503,10.4042,2.1979,-0.9902
25.7804,9.381,2.2063,-1.1081
25.9795,8.3003,2.2008,-1.2371
26.2345,7.1564,2.2319,-1.3799
26.2584,6.0052,2.2445,-1.514
26.0424,4.8994,2.235,-1.6456
25.7127,3.7629,2.1926,-1.7831
25.1687,2.71,2.1622,-1.915
24.5177,1.8254,2.1383,-2.0495
23.769,1.0193,2.0928,-2.1763
23.031,0.2107,2.0798,-2.3076
22.0761,-0.5116,2.0334,-2.4206
21.015,-1.1003,1.9455,-2.5218
19.9966,-1.5408,1.8795,-2.6021
18.9123,-1.8581,1.8003,-2.6709
17.8345,-2.0863,1.7064,-2.7294
16.6639,-2.3053,1.6603,-2.7868
15.3903,-2.4965,1.5876,-2.8417
14.2983,-2.5726,1.5282,-2.8878
13.0948,-2.5622,1.454,-2.9368
11.9226,-2.5337,1.4006,-2.9856
10.7364,-2.4831,1.3665,-3.0352
9.6512,-2.262,1.2651,-3.0747
8.5161,-2.1334,1.2232,-3.1218
7.3603,-1.9258,1.1221,3.1196
6.2709,-1.6232,1.0971,3.0791
5.1755,-1.3063,1.0095,3.0417
4.2061,-0.9689,0.9587,3.0101
3.1853,-0.5971,0.923,2.9745
1.9994,-0.1126,0.8569,2.9298
0.9922,0.3497,0.7551,2.8895
0.0565,0.816,0.7146,2.8459
